date,time,region,gmv,cnt_call,is_exp,const
2020/2/19,0,1,4.262816716,3.571859214,1,1
2020/2/19,1,1,5.810917119,0.453426568,0,1
2020/2/19,2,1,4.281345963,3.571859214,1,1
2020/2/19,3,1,0.515185724,0.453426568,0,1
2020/2/19,4,1,1.352816675,1.233034729,1,1
2020/2/19,5,1,0,-0.326181594,0,1
2020/2/19,6,1,0,-0.326181594,0,1
2020/2/19,7,1,0,2.012642891,0,1
2020/2/19,8,1,1.604778099,0.453426568,1,1
2020/2/19,9,1,0,-0.326181594,0,1
2020/2/19,10,1,0,0.453426568,1,1
2020/2/19,11,1,0.247783261,0.453426568,0,1
2020/2/19,12,1,0,-0.326181594,0,1
2020/2/19,13,1,1.751558799,9.808724506,0,1
2020/2/19,14,1,0,-0.326181594,0,1
2020/2/19,15,1,3.565063413,9.808724506,0,1
2020/2/19,16,1,4.341111867,5.131075537,1,1
2020/2/19,17,1,4.877915046,8.249508183,0,1
2020/2/19,18,1,2.505989798,2.012642891,1,1
2020/2/19,19,1,1.426933662,2.792251052,0,1
2020/2/19,20,1,6.020551931,9.029116345,1,1
2020/2/19,21,1,0,-0.326181594,0,1
2020/2/19,22,1,7.981745542,6.69029186,1,1
2020/2/19,23,1,7.565564126,4.351467375,0,1
2020/2/19,24,1,7.595901226,3.571859214,1,1
2020/2/19,25,1,5.769317144,5.910683698,0,1
2020/2/19,26,1,9.583798751,9.808724506,1,1
2020/2/19,27,1,8.320721762,9.808724506,0,1
2020/2/19,28,1,10.16183859,9.808724506,1,1
2020/2/19,29,1,6.791150606,4.351467375,0,1
2020/2/19,30,1,11.1700476,5.910683698,1,1
2020/2/19,31,1,10.55222438,7.469900021,0,1
2020/2/19,32,1,7.913441652,7.469900021,1,1
2020/2/19,33,1,20.52731723,12.14754899,0,1
2020/2/19,34,1,8.297287715,7.469900021,1,1
2020/2/19,35,1,10.88066437,10.58833267,0,1
2020/2/19,36,1,10.39763234,9.029116345,1,1
2020/2/19,37,1,8.519093698,9.029116345,0,1
2020/2/19,38,1,8.267313933,5.910683698,1,1
2020/2/19,39,1,6.53210447,5.131075537,0,1
2020/2/19,40,1,4.259910168,4.351467375,1,1
2020/2/19,41,1,10.53042527,9.808724506,0,1
2020/2/19,42,1,1.668722166,2.792251052,1,1
2020/2/19,43,1,6.627838911,6.69029186,0,1
2020/2/19,44,1,3.184850536,3.571859214,1,1
2020/2/19,45,1,1.070881469,1.233034729,0,1
2020/2/19,46,1,4.266813221,7.469900021,1,1
